,periodStartUnix,liquidity,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken1,pool.totalValueLockedToken0,pool.token0.decimals,pool.token1.decimals
5765,1640966400.0,1.0448068660028346e+19,3787.539413864937,3751.127127490032,3751.127127490032,1.5396918913896574e+33,5.375995880952077e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5766,1640970000.0,1.011511596372024e+19,3751.018678094549,3718.8545436418603,3718.8545436418603,1.5396918913896574e+33,5.3767216595965155e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5767,1640973600.0,1.011542312516821e+19,3710.308596809458,3700.707436084696,3700.707436084696,1.5397341771951197e+33,5.377243891516931e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5768,1640977200.0,9.857459010124775e+18,3698.4781535824986,3627.1620335742214,3627.1620335742214,1.5399203848501603e+33,5.37926031564657e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5769,1640980800.0,9.853054020596271e+18,3655.3185313175104,3630.898436178117,3648.5805714271974,1.5401603234530195e+33,5.3795852972871785e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5770,1640984400.0,1.1261173060913058e+19,3690.957712423995,3642.5736324425457,3685.0029036205538,1.540755706187831e+33,5.380373860769504e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5771,1640988000.0,1.1262991017943683e+19,3698.982759883203,3685.026200383965,3686.2286860581776,1.540873496079422e+33,5.3806863858361864e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5772,1640991600.0,1.1307170614408745e+19,3689.602795126544,3685.7384112250975,3685.7384112250975,1.5409019409642713e+33,5.3807639652968965e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5773,1640995200.0,1.1484426110334464e+19,3718.676842552723,3684.759996058332,3718.676842552723,1.541158887460881e+33,5.380797122225124e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5774,1640998800.0,1.183627055182757e+19,3735.737128937727,3718.676842552723,3734.593034338719,1.5413304026685637e+33,5.380822780815061e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5775,1641002400.0,1.1836187792089391e+19,3734.593034338719,3731.6909273071196,3731.6909273071196,1.5413304026685637e+33,5.3808879192396784e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5776,1641009600.0,1.1603735996288944e+19,3730.6753838671557,3696.854151717097,3710.7400713035718,1.5416049120671693e+33,5.382101605814898e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5777,1641013200.0,1.1884236058094088e+19,3751.018946959336,3710.7400713035718,3735.9006876212175,1.5419425623888018e+33,5.382384561790513e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5778,1641016800.0,1.1609134089778803e+19,3735.9006876212175,3721.3654869717548,3721.3654869717548,1.5419425623888018e+33,5.382764865734282e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5779,1641020400.0,1.1609134089778803e+19,3720.306497129017,3705.0066859621934,3711.754593492707,1.541999250853927e+33,5.38313651767134e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5780,1641024000.0,1.161490732164364e+19,3719.81421509008,3711.754593492707,3719.81421509008,1.5420669472803172e+33,5.38313651767134e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5781,1641027600.0,1.160469314415291e+19,3724.4892543329493,3717.599591278567,3717.599591278567,1.542106212932091e+33,5.383291886079795e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5782,1641031200.0,1.1475155502625264e+19,3720.0848130905433,3686.081987963892,3695.784285000001,1.5422101880394532e+33,5.38406807017935e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5783,1641034800.0,1.147540521959419e+19,3698.6421488171723,3695.791381289506,3698.6421488171723,1.542234250488995e+33,5.38406807017935e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5784,1641038400.0,1.160537978978386e+19,3707.107780616039,3698.6421488171723,3707.107780616039,1.5422843877266368e+33,5.384080692428697e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5785,1641042000.0,1.160419903270413e+19,3714.143780286342,3712.060310000003,3714.143780286342,1.542369283854975e+33,5.384080692428697e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5786,1641045600.0,1.1565025836855423e+19,3714.143780286342,3701.189854669279,3701.189854669279,1.542369283854975e+33,5.384374448413064e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5787,1641049200.0,1.1966772082491542e+19,3733.555107033433,3701.189854669279,3731.579216386882,1.5426410513632504e+33,5.384418807952022e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5788,1641052800.0,1.197120506475028e+19,3738.8079525255866,3731.4158269959785,3738.8079525255866,1.542680339826402e+33,5.384422477686679e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5789,1641056400.0,1.197360809035701e+19,3753.578817657924,3725.251907072119,3753.578817657924,1.542940130288213e+33,5.384726882685807e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5790,1641060000.0,1.2017652582093373e+19,3753.578817657924,3753.181866785119,3753.181866785119,1.542940130288213e+33,5.384735720369321e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5791,1641063600.0,1.0861079263732169e+19,3753.181866785119,3746.0168060125293,3746.0168060125293,1.542940130288213e+33,5.384893804463694e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5792,1641067200.0,9.743013608559139e+18,3765.698910000011,3746.0168060125293,3765.698910000011,1.5431045496153928e+33,5.3848954841673566e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5793,1641070800.0,9.743013608559139e+18,3765.698910000011,3757.822383180469,3757.822383180469,1.5431045496153928e+33,5.385056220834323e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5794,1641074400.0,9.740525445550125e+18,3757.822383180469,3750.449529199525,3754.0872731958107,1.5431349529167125e+33,5.385234360191635e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5795,1641078000.0,9.716610433472977e+18,3762.3053137185448,3754.0872731958107,3762.3053137185448,1.5432035829420397e+33,5.385234360191635e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5796,1641081600.0,9.71601724395763e+18,3765.453233382687,3765.453233382687,3765.453233382687,1.5432298518097596e+33,5.385234360191635e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5797,1641085200.0,9.71601724395763e+18,3765.325202289665,3752.1830511558883,3752.1830511558883,1.5432298518097596e+33,5.385523597554695e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5798,1641088800.0,9.771830482512642e+18,3752.1830511558883,3751.0509184764414,3751.0509184764414,1.5432298518097596e+33,5.385529166183793e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5799,1641092400.0,9.773918980095971e+18,3751.0509184764414,3751.0509184764414,3751.0509184764414,1.5432298518097596e+33,5.3855543896715734e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5800,1641096000.0,9.72747146275288e+18,3753.2805453680585,3727.205871143482,3727.205871143482,1.5432484866956735e+33,5.38601977461231e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5801,1641099600.0,9.727253669174608e+18,3732.7645257042527,3711.836281130731,3732.7645257042527,1.5434262853292755e+33,5.386490709458398e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5802,1641103200.0,9.718345796843966e+18,3737.1560374212495,3732.7645257042527,3737.1560374212495,1.54346307336643e+33,5.386490709458398e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5803,1641106800.0,9.727001048182346e+18,3741.765925000011,3737.1560374212495,3741.765925000011,1.54346307336643e+33,5.386490709458398e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5804,1641110400.0,9.514871965060524e+18,3741.765925000011,3741.765925000011,3741.765925000011,1.543501667509092e+33,5.386490709458398e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5805,1641114000.0,9.74933095091566e+18,3759.248817752262,3741.765925000011,3759.029252940263,1.5436478192936098e+33,5.386495586603796e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5806,1641117600.0,1.0918566670636904e+19,3755.372519110568,3755.1357163925973,3755.1357163925973,1.5436478192936098e+33,5.386581068148926e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5807,1641121200.0,1.101948140612201e+19,3755.0894903563308,3748.6787603134203,3748.6787603134203,1.5436478192936098e+33,5.386725985829193e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5808,1641124800.0,1.1015448806361446e+19,3748.6787603134203,3735.286942703791,3745.417237626505,1.5437375206202682e+33,5.387038771220946e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5809,1641128400.0,1.1015448806361446e+19,3745.425490446655,3745.417237626505,3745.425490446655,1.5437375897970558e+33,5.387038771220946e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5810,1641132000.0,1.1015448806361446e+19,3745.522988647124,3745.42800522359,3745.522988647124,1.5437384744378592e+33,5.387038771220946e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5811,1641135600.0,1.1247764365091054e+19,3777.290633143361,3745.7445610203386,3777.290633143361,1.5440036578624015e+33,5.387038771220946e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5812,1641139200.0,2.191450458844993e+19,3835.0782432066026,3779.294010354222,3834.925886266416,1.544483201897607e+33,5.3870420555705895e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5813,1641142800.0,2.157773972967443e+19,3835.2726525796993,3824.885040008737,3824.885040008737,1.5444860686101354e+33,5.387266412876545e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5814,1641146400.0,1.116651944867178e+19,3822.7166684116896,3785.2708604213567,3785.8099188646147,1.544490554075002e+33,5.388130481489336e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5815,1641150000.0,1.1192193684137622e+19,3796.501467192571,3789.12772755265,3796.501467192571,1.5445793991930578e+33,5.388130481489336e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5816,1641153600.0,1.1192193684137622e+19,3803.624790000003,3803.624790000003,3803.624790000003,1.5445794517591458e+33,5.388130481489336e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5817,1641157200.0,2.158707920492324e+19,3812.3431612224354,3803.624790000003,3812.3431612224354,1.5447107526961775e+33,5.388130481489336e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5818,1641160800.0,2.158764203671632e+19,3822.048524632884,3815.337988853879,3822.048524632884,1.5447908169453203e+33,5.388130481489336e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5819,1641164400.0,2.158795994067705e+19,3825.895239649413,3822.048524632884,3825.895239649413,1.5448229709788426e+33,5.388130481489336e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5820,1641168000.0,1.1204967542598337e+19,3825.895239649413,3809.776682005314,3809.776682005314,1.5448232108969876e+33,5.388476470482486e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5821,1641171600.0,1.1204967542598337e+19,3811.968157035242,3806.3446444052033,3806.3446444052033,1.5448413852882082e+33,5.388602757033126e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5822,1641175200.0,1.12117396726826e+19,3801.6399197592896,3797.294389810343,3797.294389810343,1.5448413852882082e+33,5.388777649890962e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5823,1641178800.0,1.1211465537426051e+19,3797.16191342145,3789.5249225025664,3789.5249225025664,1.5448413852882082e+33,5.388970660968271e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5824,1641182400.0,1.1226926535656722e+19,3789.5249225025664,3789.5249225025664,3789.5249225025664,1.5448413852882082e+33,5.388970660968271e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5825,1641186000.0,1.1296356635861932e+19,3809.1535214742767,3788.593174524126,3805.0072227758587,1.5450256682325968e+33,5.389177600498319e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5826,1641189600.0,1.1296356635861932e+19,3805.0072227758587,3805.0072227758587,3805.0072227758587,1.5450487189411992e+33,5.389177600498319e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5827,1641193200.0,1.123333758188475e+19,3805.0072227758587,3805.0072227758587,3805.0072227758587,1.5450487189411992e+33,5.389177600498319e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5828,1641196800.0,1.1228988748495604e+19,3808.2592130565627,3805.8392483936873,3808.2592130565627,1.5450757034351718e+33,5.389177600498319e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5829,1641200400.0,1.1160641184425175e+19,3808.2592130565627,3803.1344032096413,3803.1344032096413,1.5450757034351718e+33,5.389289354258706e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
5830,1641204000.0,2.1578086459791622e+19,3817.9614727568123,3803.150930815588,3817.9614727568123,1.545197862062963e+33,5.389289709079478e+41,290057463.63830537,65321.914368646125,161466547.784667,6.0,18.0
